,model_type,learning_rate,hidden_size,optimizer,used_time,best_f1
97,bert_mid,0.001,32,adam,76.11774898,0.988723785
98,bert_mid,0.001,64,adam,75.88745713,0.985832608
99,bert_mid,0.0001,64,adam,75.76812291,0.979945295
100,bert_mid,0.01,32,adam,75.8440249,0.979118356
101,bert_mid,0.01,64,adam,75.42022777,0.96870202
102,bert_mid,0.01,32,sgd,69.13683581,0.890163594
103,bert_mid,0.01,64,sgd,69.52795601,0.879748108
104,bert_mid,0.001,64,sgd,69.87887526,0.575455907
105,bert_mid,0.001,32,sgd,70.78679776,0.525382742
106,bert_mid,0.0001,32,sgd,70.24253821,0.156229749
107,bert_mid,0.0001,64,sgd,70.23549151,0.144204012
